loop_rank,h1_feature_index,birth,death,persistence,num_points_in_loop,top_genres,top_artists,sample_songs
1,39748,1.199286937713623,2.303833484649658,1.1045465469360352,5,,,None — what s that...; None — check this out check th ...; None — don t know...; None — don t know ...; None — don t know ...
2,39793,1.1953275203704834,2.0723772048950195,0.8770496845245361,2,,,None — worked it out...; None — you are welcome...
3,39795,1.1951558589935303,2.400725841522217,1.2055699825286865,27,"['Unknown genre'], ['ambient', 'electronica', 'intelligent dance music', 'scottish electronic', 'trip hop']","First Lady, Boards of Canada",None — check this out ...; None — add some in here 2...; None — whats...; None — check it out check it out ...; None — thank you...
4,39805,1.1947330236434937,2.3408706188201904,1.1461375951766968,7,"['ambient', 'electronica', 'intelligent dance music', 'scottish electronic', 'trip hop']",Boards of Canada,None — thank you...; None — worked it out...; None — you are welcome...; None — awesome awesome to the max...; None — thank you...
5,39807,1.1946872472763062,2.2130138874053955,1.0183266401290894,4,,,None — i guess i didn t know i guess i didn t know i guess i didn t know get busy child get busy child get ...; None — don t know ...; None — don t know...; None — don t know ...
6,39808,1.1945035457611084,2.089261054992676,0.8947575092315674,2,"['gaming edm', 'pony']",Kadenza,Kadenza — there isn t any ...; None — below this level there is none below this level the operator said below this level there is none bel...
7,39823,1.1933939456939697,2.0163543224334717,0.822960376739502,2,,,None — tate and go underneath with dry ken ...; None — i wanna play for you he wants to play for you play for me...
8,39830,1.1928067207336426,2.31291127204895,1.1201045513153076,3,,,None — tate and go underneath with dry ken ...; None — for dalton danger was always part of the game stabbed shot at and broken every bone in his body he s...; None — hey it s lynch leave me a message pick up you there alright dude give me a call i don t know what ha...
9,39840,1.192220687866211,2.3983213901519775,1.2061007022857666,3,,,None — ok ok i ll try but my way ...; None — i ve been trying to find a way...; None — worked it out...
10,39843,1.1919218301773071,2.216151237487793,1.0242294073104858,5,"['conscious hip hop', 'hardcore hip hop', 'philly rap', 'political hip hop']",Jedi Mind Tricks,None — appears this could not be fetched ...; None — you were infected virus detected...; Jedi Mind Tricks — duplicate page should be deleted...; None — you are engaged in an unauthorized procedure remain where you are...; None — we cannot continue this unauthorized content unauthorized content...
11,39855,1.1906150579452515,2.0263142585754395,0.835699200630188,6,"['gaming edm', 'pony'], ['abstract beats', 'alternative hip hop', 'alternative r&b', 'hip hop', 'indie soul', 'underground hip hop', 'wonky']","Kadenza, Knxwledge",None — but there is nothin ...; Kadenza — there isn t any ...; None — there s something out there...; Knxwledge — here s the solution and then if you can t understand it then there s no solution for you the solutio...; None — there s no lamp no sleepy hollow there s no pack of dogs to follow there s no airflow there s no inf...
12,39870,1.1892874240875244,2.0360732078552246,0.8467857837677002,2,"['complextro', 'electro house', 'gaming edm', 'melodic dubstep', 'neurostep']",Xilent,Xilent — yeah boy help me help me help yeah boy help me help me help me help ...; None — i ve been trying to find a way...
13,39872,1.1892623901367188,2.276808261871338,1.0875458717346191,4,,,None — detecting humanoids lock on target activate subsonic bass activate subsonic bass activate subsonic b...; None — detecting humanoids lock on target activate subsonic bass activate subsonic bass activate subsonic b...; None — district 12 mainframe laser control begin simulation ...; None — initializing audio test sequences in three two one ambient textures initiate pass static frequencies...
14,39884,1.188603162765503,2.001267433166504,0.812664270401001,3,,,None — at the third stroke it will be 10 03 and 40 seconds at the third stroke it will be 10 03 and 50 seco...; None — three oh it s the magic number yeah it is it s the magic number somewhere in that ancient mystic tri...; None — three is a magic number yes it is its a magic number somewhere in the ancient mystic trinity you get...
15,39901,1.1877721548080444,2.275434970855713,1.0876628160476685,2,,,None — he s a victim of his own time in his vintage suit and tie he s a casualty dressed to the teeth in th...; None — richard elliot who ...
16,39909,1.1873078346252441,2.0820279121398926,0.8947200775146484,3,,,None — click ...; None — now push it...; None — press play...
17,39935,1.1861268281936646,2.3079161643981934,1.1217893362045288,4,"['complextro', 'electro house', 'gaming edm', 'melodic dubstep', 'neurostep']",Xilent,None — click ...; Xilent — choose choose me ...; None — follow me...; None — drop down let me give it to you...
18,39966,1.1843068599700928,2.1329400539398193,0.9486331939697266,3,,,None — bassleader the fusion of five elements was the key to unlock its power science was oblivious to its ...; None — war of elements water against the sun the sun leading a battle of the war that will never be done su...; None — and now the severe beating of a high school science teacher zinc is by far the best element i also l...
19,39968,1.1841951608657837,2.0798933506011963,0.8956981897354126,5,,,None — rare sound rare sound rare sound sound sound rare sound rare sound rare sound bobby kritical sound s...; None — luca brasci yea you no who i am kevin gates i got mustard...; None — started out as a reserve soon promoted well deserved and the legend has begun with a bounty on his h...; None — lermaninoff...; None — richard elliot who ...
20,40009,1.1823571920394897,2.2604541778564453,1.0780969858169556,3,,,None — i don t wanna oh oh ohh ohh i don t wanna oh oh ohh ohh no i don t wanna oh oh ohh ohh i don t wanna...; None — because we can can can yes we can can can can can can can can can oh oh oh oh oh oh oh oh oh oh oh o...; None — i i thought you would agree this time i m starting now to see these eyes they wanna tell you somethi...
21,40018,1.182086706161499,2.2477362155914307,1.0656495094299316,6,,,None — unknown...; None — don t know...; None — don t know ...; None — don t know ...; None — unknown...
22,40031,1.1816496849060059,2.29803729057312,1.1163876056671143,2,,,None — you see it ok see it right in this position here straight ahead in between the tree there it is agai...; None — it looks something like this...
23,40034,1.181503415107727,2.3079161643981934,1.1264127492904663,5,['Unknown genre'],First Lady,None — click ...; None — nothing...; First Lady — what...; None — nothing...; None — watch this ...
24,40035,1.181492567062378,2.024420976638794,0.842928409576416,6,"['flamenco guitar', 'rumba']",Jesse Cook,None — oh oh oh oh oh oh that s all i need2...; None — that that that that s what i m talking about...; None — bl thats it ...; None — that that that that s what i m talking about...; None — that that that that s what i m talking about...
25,40042,1.1810778379440308,2.231043577194214,1.049965739250183,2,,,None — to be added...; None — the portal is now open...
26,40050,1.1807721853256226,2.099522352218628,0.9187501668930054,2,,,None — align the engine...; None — why do we try before we have none but your head a big engine a turbine why do we try before we have ...
27,40055,1.1806464195251465,2.080930233001709,0.9002838134765625,3,"['neo-progressive', 'progressive metal', 'symphonic rock']",OSI,OSI — well at least this time you were right and you had the good sense to give up yeah when others there ...; None — you re going to have to do better this time ...; None — i hope it works this time ...
28,40087,1.1791787147521973,2.218839645385742,1.039660930633545,3,,,None — ladies and gentlemen one and all it is time for the night s main event tonight we ve a treat so plea...; None — at the end of today s session the challenger sergievsky leads five games to one...; None — rockit gaming s alice vs boris...
29,40092,1.1789559125900269,2.0546271800994873,0.8756712675094604,5,"['flamenco guitar', 'rumba']",Jesse Cook,None — oh oh oh oh oh oh that s all i need2...; None — bl thats it ...; None — that that that that s what i m talking about...; None — that that that that s what i m talking about...; Jesse Cook — that s right ...
30,40102,1.178760290145874,2.19966197013855,1.0209016799926758,3,"['cartoon', ""children's music""]",Spongebob Squarepants,None — you wore my you wore my sweater we were just friends in the middle of december that night i always w...; Spongebob Squarepants — i d like to call this little number striped sweater the best time to wear a striped sweater is all t...; None — my heart is a sweater way high up on a crest she don t need a sweater maybe it s for the best winter...
31,40128,1.177890419960022,2.275434970855713,1.097544550895691,5,,,None — the lif with a big wino big as bolla bwoy wid a plan as you can see is he is non ya code name cona s...; None — lermaninoff...; None — michael w smith miscellaneous ashton ashton michael w smith ...; None — richard elliot who ...; None — my name is lyman zerga my name is lyman zerga my name is lyman zerga electronics livingston dell liv...
32,40129,1.1777896881103516,2.1036126613616943,0.9258229732513428,5,,,None — feel free to add ...; None — feel free to add ...; None — have to be submitted 1...; None — feel free to add ...; None — easy easy 1...
33,40152,1.1770902872085571,2.0556704998016357,0.8785802125930786,3,,,None — the phantom weren t the only jet fighter with a piece of the action in that fracas though you d neve...; None — apollo 440 electro glide in blue stealth mass in f m...; None — the birds fly a lot better than we do see how they wheel and bank and glide perfect all in one wings...
34,40157,1.177010416984558,2.0941216945648193,0.9171112775802612,3,"['alternative metal', 'alternative rock', 'el paso indie']",The Mars Volta,The Mars Volta — recording of sounds in an airport ...; None — soundz...; None — i m standing on the cusp of my elevated sound you can listen if you want in your system let it bump ...
35,40164,1.1767666339874268,2.103177785873413,0.9264111518859863,6,"['conscious hip hop', 'hardcore hip hop', 'philly rap', 'political hip hop']",Jedi Mind Tricks,None — exterminate exterminate exterminate annihilate destroy exterminate annihilate destroy give me your f...; None — tear down the walls tear tear down the walls t t t tear down the walls tear down the walls tear tear...; Jedi Mind Tricks — duplicate page should be deleted...; None — take it down...; None — call to destruction call to destruction of the symbols of paganism grand monuments of idolatry we mu...
36,40167,1.1766154766082764,2.1389195919036865,0.9623041152954102,6,,,None — check this out ...; None — whats...; None — whats...; None — check this out check th ...; None — check this out ...
37,40200,1.1756802797317505,2.0124449729919434,0.8367646932601929,2,,,None — thank you you re very welcome oh yes i know okay thank you very much thank you very much well that s...; None — the portal is now open...
38,40203,1.1755716800689697,2.1901895999908447,1.014617919921875,2,,,None — the portal is now open...; None — coming 4 28...
39,40237,1.1745274066925049,2.1781482696533203,1.0036208629608154,5,"['dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Kid Ink,None — strawberry melon a cherry on top butter popcorn that i can pop coffee with girls and a racing team t...; Kid Ink — so i don t even ask what you want or what you thinkin i know what s your favorite...; None — feel free to add ...; None — feel free to add ...; None — feel free to add ...
40,40259,1.173784613609314,2.2016680240631104,1.0278834104537964,4,,,None — it s a thing it s a thing...; None — whats...; None — it s what you need it s what you need it s what you need it s what you need it s what you need...; None — whats...
41,40272,1.1732624769210815,2.233269453048706,1.0600069761276245,2,,,None — i don t understand where the hell you re coming from but i guess that i ll try to figure something o...; None — we cannot continue this unauthorized content unauthorized content...
42,40274,1.1731595993041992,2.2788338661193848,1.1056742668151855,3,,,None — if you want to eat some dog i have good news there s an annual dog festival where you can eat all th...; None — mogadisco mogadisco mogadisco mogadisco mogadisco mogadisco yeah until relatively recently da nang w...; None — go how it s so funny it s so lovely oh it s so pretty it s a junky hey all these things happened in ...
43,40285,1.1726244688034058,2.316366672515869,1.1437422037124634,17,['Unknown genre'],First Lady,None — check it out check it out ...; None — check this out ...; None — add some in here 2...; None — what s that...; None — whats...
44,40297,1.1722511053085327,2.0779848098754883,0.9057337045669556,4,,,None — feel free to add ...; None — thangamey available soon...; None — feel free to add ...; None — feel free to add ...
45,40307,1.1719459295272827,2.2130138874053955,1.0410679578781128,2,,,None — thurs...; None — don t know ...
46,40361,1.1703746318817139,2.1944966316223145,1.0241219997406006,2,,,None — meanwhile ...; None — wait for me ...
47,40399,1.1689096689224243,2.065065622329712,0.8961559534072876,3,,,None — hooray for hell if it s on the way such a good time for a test how should i do it how should i go wh...; None — yeah who wanna test us ...; None — well this is a test...
48,40410,1.168595790863037,2.158442974090576,0.9898471832275391,3,,,None — meanwhile ...; None — without you...; None — together...
49,40433,1.1680630445480347,2.0509209632873535,0.8828579187393188,5,,,None — watch the ball everybody get ready nice run run run run 6...; None — tate and go underneath with dry ken ...; None — here we go don t front word up don t front on the jimmy...; None — go for the touchdown yeah the touchdown go for the touchdown yeah the touchdown go for the touchdown...; None — don t let em everyone but everyone s on grass ...
50,40437,1.167863130569458,2.076935291290283,0.9090721607208252,7,,,None — you were infected virus detected...; None — calling all system 13s we re cranking up the temperature brace yourselves it s going to be a bumpy r...; None — again again got a mixed bag of temperament battery s on ten percent invitation but i never went invi...; None — commencing system check treble online midrange online bass unacceptable increasing bass level bass o...; None — you re all going to die down here if you feel you have reached this recording an error we re sorry t...
51,40461,1.167236328125,2.2150323390960693,1.0477960109710693,5,,,None — it s been a long time i know since i ...; None — please add when known...; None — thurs...; None — please add when known...; None — don t know ...
52,40464,1.1669838428497314,2.1214239597320557,0.9544401168823242,3,,,None — it takes like a day across the entire solar system but it takes like a hundred thousand years to cro...; None — the most distant human made object nasa s voyager 1 spacecraft has entered interstellar space the sp...; None — solar arch of vast expanse core of innumerable forces unconquered sun hyperion s voice travels sol i...
53,40482,1.1664496660232544,2.142333984375,0.9758843183517456,2,,,None — initializing startup sequence loading loading loading all systems are go please enjoy your stay plea...; None — uh what seems to be the trouble well it runs fine when i m here but whenever i something always goes...
54,40491,1.1662344932556152,2.3079161643981934,1.1416816711425781,2,,,None — watch this ...; None — tell me how you do that thing go like that...
55,40495,1.1661243438720703,2.114100456237793,0.9479761123657227,4,,,None — edit okay let s begin compound a substance composed of two or more elements chemically combined in d...; None — solid liquid gas solid liquid gas ice is a solid water is a liquid steam is a gas rock is a solid mi...; None — edit okay let s begin compound a substance composed of two or more elements chemically combined in d...; None — a piece of cardboard rolling up into a structural and functional form brown leaves combusting grey s...
56,40538,1.1648938655853271,2.2130138874053955,1.0481200218200684,6,,,None — no what have i done i don t know i don t know anymore...; None — i didn t mean to tell you but i guess you got to know...; None — i can t be sure of it i can t be sure of it i can t be sure of it i can t be sure of it i can t be s...; None — don t know...; None — don t know ...
57,40547,1.1646621227264404,2.003272533416748,0.8386104106903076,3,,,None — axe chops your head knife carves you flesh face is bashed in gutted and skinned teeth are torn out f...; None — i just uh i just cut them up like regular chickens sure just cut them up like regular chickens...; None — the next major step is complete evisceration of the carcass to begin make a cut from the solar plexu...
58,40555,1.1644102334976196,2.0877842903137207,0.9233740568161011,2,,,None — slight idle like its standing still sit down for a lack up hill ive never felt quite alive gear grin...; None — you can see it tighten...
59,40562,1.1642799377441406,2.1365034580230713,0.9722235202789307,2,,,None — uranium has ninety two protons barium has fifty six the difference is thirty six what has thirty six...; None — you re going supernova all of my thoughts become just one i fly a million miles only to crash into t...
60,40615,1.1625189781188965,2.2595536708831787,1.0970346927642822,2,,,None — the portal is now open...; None — no available at this moment...
61,40627,1.1622077226638794,2.140066385269165,0.9778586626052856,3,,,None — watch this ...; None — nothing...; None — nothing...
